Brand,Store Number,Country,Longitude,Latitude
Starbucks,74746-97383,CA,-114.1,50.97
Starbucks,4602-94979,CA,-113.97,50.93
Starbucks,4504-93340,CA,-114.17,51.02
Starbucks,23241-227404,CA,-114.08,50.96
Starbucks,79698-120206,CA,-114.16,51.08
Starbucks,74985-102401,CA,-114.17,51.01
Starbucks,7196-145352,CA,-114.06,51.04
Starbucks,70002-120504,CA,-114.01,51.13
Starbucks,4403-15393,CA,-114.14,51.04
Starbucks,4559-95425,CA,-114.15,51.08
Starbucks,4864-103821,CA,-114.13,51.16
Starbucks,75976-100261,CA,-114.07,51.05
Starbucks,4848-107725,CA,-114.07,51.05
Starbucks,22865-223125,CA,-114.07,51.05
Starbucks,4399-29216,CA,-114.07,51.15
Starbucks,74942-102406,CA,-114.07,51.13
Starbucks,4819-105807,CA,-114.07,51.04
Starbucks,22945-207164,CA,-114.03,51.1
Starbucks,17004-164724,CA,-114.21,51.15
Starbucks,74744-97387,CA,-114.12,50.94
Starbucks,4383-14851,CA,-114.16,51.14
Starbucks,16972-175068,CA,-114.16,51.09
Teavana,28637-250185,CA,-114.16,51.08
Starbucks,74907-101612,CA,-114.2,51.13
Starbucks,4099-105511,CA,-114.01,50.96
Starbucks,4134-141704,CA,-114.21,51.04
Starbucks,4261-929,CA,-114.08,51.04
Starbucks,15548-64121,CA,-114.13,51.07
